Country,year,Country_code,GDPcap,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6,ID,Diff1,SqError
Indonesia,1997,IDN,4683.1084,0,1.0,0.0,0.0,1,4608.7261,4292.0039,4018.8948,3811.2478,3626.3877,4262.4565,4030.6714,3825.905,3850.3228,3769.7224,3722.3867,67,-441.7510481117697,6248.436537531137
Israel,1975,ISR,16405.469,1,0.0,1.0,0.0,1,16511.449,16329.785,15668.867,14587.283,13481.045,16145.888,15850.999,15938.774,16303.343,16102.371,16744.338,69,-949.460750344324,126641.15261809989
Jamaica,1983,JAM,4076.3142,0,0.0,1.0,0.0,1,4037.7297,4113.3853,4425.228,5045.1338,5734.0596,4103.0952,3774.2114,4050.5713,4353.3145,4555.062,4573.6387,71,117.15188579066398,9655.420441876666
Jamaica,1991,JAM,4805.3833,0,0.0,1.0,0.0,1,4792.8354,4573.6387,4555.062,4353.3145,4050.5713,5156.7813,5283.4995,5285.832,5330.9243,5426.48,5475.377,72,144.16070654846772,9570.646292796635
Jamaica,2010,JAM,7162.6724,0,0.0,0.0,1.0,1,7049.4219,7042.0356,7267.4673,6947.3164,6610.0142,7384.7041,7317.2642,7264.5205,7233.9297,7466.7388,7664.0425,73,418.80867865784603,43541.52732803737
Kazakhstan,1999,KAZ,5302.2524,0,0.0,1.0,0.0,1,5251.9385,5632.6279,5922.835,5886.9932,6704.209,6149.1875,6599.5645,7025.2373,7842.1162,8830.1602,10133.978,75,824.9801376031492,54813.5782843682
Kenya,1985,KEN,2050.5166,0,1.0,0.0,0.0,1,2071.9282,1991.4166,1967.4993,1984.0874,2062.4973,2139.8083,2071.834,2110.1853,2080.1201,2068.1079,2086.228,76,53.941315321289494,23159.226831112144
Kenya,1992,KEN,1991.1797,0,1.0,0.0,0.0,1,2086.228,2068.1079,2080.1201,2110.1853,2071.834,2034.5153,2255.3875,2096.627,2144.6765,2095.5247,2072.3167,77,-89.51634733801029,5597.2412807984365
Kyrgyz Republic,1997,KGZ,2390.7249,0,0.0,1.0,0.0,1,2794.4438,2958.6638,3744.6782,4818.4019,5720.5244,1980.9365,1988.1572,2026.359,2040.1548,1942.8168,2097.1563,78,-400.9318476808014,1.359789660017029e6
"Korea, Rep.",1997,KOR,21429.688,1,1.0,0.0,0.0,1,21902.402,20014.559,17838.98,15899.352,14533.962,19330.857,20841.67,21919.012,22568.896,24270.613,25081.486,79,-1216.871835402646,1.1748775599898936e6
