Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
"Congo, Dem. Rep.",1976,COD,,80.38595907541399,30.70569079814191,42271.938,23.559071,.39948687,.17807248,0,0,1,1,Africa,.49011567,-1.6408192,,-5.3090019,-4.9816308,3.1305859,8.1372757,.15113552,6.0050182,.76079363,-5.3452916,.43008825,2.1949129,2.3505242,-.4576776,1.4117037,1
"Congo, Dem. Rep.",1983,COD,,76.5266976662659,49.9063547027945,54300.328,28.404877,.2804423,.19384532,0,1,1,0,Africa,2.2143891,-1.6408192,48,1.4117037,-.4576776,2.3505242,2.1949129,.43008825,-5.3452916,5.5410738,.46785095,4.7172098,2.6756425,.47038135,-1.2660506,-6.5683107,1
"Congo, Dem. Rep.",1989,COD,,104.06522942826,110.4938423974845,62094.344,33.465443,.28516528,.17948472,0,0,1,0,Africa,1.6537163,-1.6408192,67,-1.2660506,.47038135,2.6756425,4.7172098,.46785095,5.5410738,-6.5683107,-8.421051,-10.500009,-13.46905,-3.8999968,.69999886,-1.0231726,1
"Congo, Dem. Rep.",1991,COD,,2154.43682711341,140.7781770646054,37787.457,35.914825,.27432483,.10042696,0,1,0,0,Africa,,-1.6408192,0,-8.421051,-6.5683107,-1.2660506,.47038135,2.6756425,4.7172098,-10.500009,-13.46905,-3.8999968,.69999886,-1.0231726,-5.6170468,-1.6241541,0
"Congo, Dem. Rep.",1994,COD,,23773.1317741016,240.159810205565,30159.506,40.273701,.17953379,.069194794,0,1,1,0,Africa,,-1.6408192,0,-3.8999968,-13.46905,-10.500009,-8.421051,-6.5683107,-1.2660506,.69999886,-1.0231726,-5.6170468,-1.6241541,-4.2701406,-6.9109273,-2.100173,0
"Congo, Dem. Rep.",1999,COD,,284.894975914087,284.1683446650848,26484.227,45.898666,.10251127,.045625735,0,0,1,0,Africa,,-1.6408192,0,-4.2701406,-1.6241541,-5.6170468,-1.0231726,.69999886,-3.8999968,-6.9109273,-2.100173,2.9477651,5.5778222,6.7383738,6.1351514,5.3209796,0
"Congo, Dem. Rep.",2009,COD,-6.022509208639161,2.79999999999981,73.35054963988745,36893.379,62.409435,.096783347,.033925921,0,0,1,0,Africa,2.8628821,-1.6408192,79,2.8550639,6.2258945,6.2594776,5.3209796,6.1351514,6.7383738,7.1079764,6.874671,7.0868988,8.4819565,9.4702883,6.9161878,2.399379,1
"Congo, Dem. Rep.",2016,COD,-4.050289513685862,2.88585107290009,13.9325261800154,62136.102,78.736153,.11583147,.039542712,0,0,1,0,Africa,,-1.6408192,,2.399379,6.9161878,9.4702883,8.4819565,7.0868988,6.874671,3.7269475,5.7579327,,,,,,0
"Congo, Rep.",1986,COG,-32.48323777938425,4.1581108829568,186.3123048833766,4896.4346,2.188046,.65545762,.23491302,0,0,0,1,Africa,1.4210368,-1.1915934,48,-6.8615265,-1.1856608,6.976131,5.8539629,23.5977,17.619722,.18937664,1.7662635,2.5998764,1.0000036,2.3953674,2.611948,-.97968322,1
"Congo, Rep.",1994,COG,-44.84099550539261,42.4396750333452,357.481067140909,4363.4595,2.722497,.38691851,.14809291,0,0,1,0,Africa,1.8740147,-1.1915934,75,-5.4930758,-.97968322,2.611948,2.3953674,1.0000036,2.5998764,3.9853244,4.2904816,-.62481213,3.7375529,-2.5821993,7.5759802,3.8026018,1
Colombia,1982,COL,-7.836670825132906,24.7002398081535,27.68442290267662,193741.98,29.027163,.10373267,.66220999,0,1,0,0,LatAm,,-.13174106,0,.94842076,2.2768726,4.0873537,5.3791189,8.4699011,4.1585054,1.573956,3.3506837,3.1071062,5.8240762,5.3689322,4.0641732,3.4140961,0
Colombia,1985,COL,-5.184211253064158,23.9741816505302,43.57275461891992,198503.89,31.011688,.093021974,.64989084,0,0,1,0,LatAm,,-.13174106,0,3.1071062,3.3506837,1.573956,.94842076,2.2768726,4.0873537,5.8240762,5.3689322,4.0641732,3.4140961,4.2819982,2.0016077,4.0449295,0
Colombia,1998,COL,-4.93441634428213,18.6812565385812,34.54409592745641,287279.66,39.234062,.12475789,.59956837,0,1,0,0,LatAm,3.1047213,-.13174106,24,.5697841,3.4302936,2.0558548,5.2024374,5.814662,5.3854098,-4.2040153,2.9248614,1.6778983,2.5039804,3.918272,5.3330221,4.7065558,1
Comoros,1994,COM,-2.260928334059323,,61.68158338210414,1247.3763,.462277,.25301805,.24932507,0,0,1,0,Island,,-1.561964,55,-5.276783,3.0060613,8.530982,-5.395637,5.0912366,-3.1802566,3.6102064,-1.2916889,4.0301538,1.2825158,1.9244087,10.847878,2.3329072,0
Cabo Verde,1993,CPV,-4.87949553365867,5.78839590443698,30.03198887103862,810.08704,.36901399,.18775551,.2081711,0,1,0,0,Africa,,.11462396,0,8.7083111,10.937647,1.4041469,.69217187,5.6979494,5.9968548,19.182642,14.211637,11.346525,11.118426,12.517285,11.222649,14.284869,0
Costa Rica,1981,CRI,-15.59194414284269,37.0572006829526,146.4961597620316,17147.758,2.454129,.17755479,.64927346,0,0,1,1,Island,12.437356,.31522611,32,-2.2616556,.75189543,4.9391241,6.2676868,8.9044743,5.5175643,-7.2855687,2.8629928,8.0241079,.72160172,5.5362511,4.764533,3.4321473,1
Costa Rica,1987,CRI,-5.657019914006582,16.8466527583525,114.0720653576177,20711.297,2.872211,.16392566,.73350573,0,1,0,0,Island,1.1410465,.31522611,48,4.764533,5.5362511,.72160172,8.0241079,2.8629928,-7.2855687,3.4321473,5.6659756,3.5530634,2.265655,9.1965609,7.0875173,4.487267,1
Costa Rica,1991,CRI,-1.048960851702741,28.7093208307046,58.79244235969956,23330.162,3.1756489,.14535967,.70123196,0,0,1,0,Island,.64199531,.31522611,76,2.265655,3.5530634,5.6659756,3.4321473,4.764533,5.5362511,9.1965609,7.0875173,4.487267,4.1214962,1.2378163,5.5649457,6.9617004,1
Costa Rica,1994,CRI,-2.239130871251179,13.5342450979727,38.41003003673323,29513.703,3.4256899,.13153258,.79606104,0,1,0,0,Island,.68515253,.31522611,28,4.487267,7.0875173,9.1965609,2.265655,3.5530634,5.6659756,4.1214962,1.2378163,5.5649457,6.9617004,3.9433537,3.8331666,3.4904695,1
