Country,year,Country_code,GDPCAP,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6
France,2008,FRA,41496.93477781301,1,1,0,0,0,41623.371,40890.215,40191.867,39833.457,39023.578,40097.766,40677.984,41369.352,41298.527,41323.27,41521.242
Gabon,1986,GAB,11676.44337046106,0,0,0,1,1,12097.579,12724.862,12154.037,11811.774,12504.218,9410.7012,10328.767,10905.022,11159.789,11522.857,10868.416
Gabon,1994,GAB,11110.81770849463,0,0,1,0,1,10998.983,10868.416,11522.857,11159.789,10905.022,11365.683,11481.459,11838.346,11949.282,10618.739,10170.265
United Kingdom,2007,GBR,41461.99924616296,1,1,0,0,0,40822.465,40044.906,39163.258,38506.348,37442.281,41022.277,39038.242,39536.773,39729.441,40018.492,40620.375
Georgia,1991,GEO,2897.092454580143,0,1,0,0,0,3697.7751,4338.3374,4686.9858,4484.4854,4464.4258,1583.9822,1111.3015,1011.1733,1077.1904,1242.1105,1417.5142
Ghana,1978,GHA,939.2200684148162,0,0,1,0,1,882.05847,879.04382,930.66724,1088.609,1046.2196,897.37653,881.15753,828.39825,749.34869,693.94995,731.34521
Ghana,1982,GHA,749.3486872557267,0,1,0,0,1,828.39825,881.15753,897.37653,939.22009,882.05847,693.94995,731.34521,745.85876,761.91595,775.63733,796.08649
Ghana,2009,GHA,1234.540119494506,0,0,1,0,1,1207.8341,1135.4911,1116.6299,1076.6178,1042.5546,1299.3452,1446.3715,1543.7637,1618.5979,1627.108,1624.3412
Ghana,2014,GHA,1627.108071760041,0,0,1,0,1,1618.5979,1543.7637,1446.3715,1299.3452,1234.5402,1624.3412,1641.8347,1736.3116,1803.969,1880.2621,
Guinea,1982,GIN,,0,0,1,0,1,,,,,,,,,513.19397,514.42041,530.31036
Guinea,1985,GIN,,0,1,0,1,1,,,,,,513.19397,514.42041,530.31036,534.99756,541.89392,540.51392
Guinea,1993,GIN,555.5552064944433,0,1,0,0,0,543.14227,540.51392,541.89392,534.99756,530.31036,562.60657,573.26819,583.26758,597.61353,603.73456,611.6557
"Gambia, The",1985,GMB,859.6347284325035,0,0,1,0,1,902.62579,903.54242,841.40051,874.35461,873.23938,854.82117,833.78235,828.79358,837.2157,830.75189,824.57123
Guinea-Bissau,1980,GNB,489.2436040891105,0,0,1,0,0,587.32825,577.77588,511.00446,551.41486,528.47876,569.29572,581.05701,547.91736,583.03571,592.78326,574.6579
Guinea-Bissau,1994,GNB,652.4865996313421,0,0,1,0,1,646.14514,647.16266,654.77222,637.21704,614.10907,667.11664,729.7674,762.33087,537.73322,532.74365,550.35425
Guinea-Bissau,2014,GNB,556.1490447244619,0,1,0,0,1,565.59851,562.53418,587.71051,558.17468,547.48102,575.05048,595.55981,615.03888,607.59351,619.52783,
Equatorial Guinea,1980,GNQ,660.1199241745601,0,0,1,0,1,,,,,,660.07141,626.56805,607.60962,570.53802,606.55054,565.27118
Greece,1983,GRC,17914.3332485679,1,0,1,0,0,18215.324,18537.93,19000.1,19058.592,18684.443,18183.705,18567.799,18602.287,18121.395,18829.9,19443.705
Greece,2012,GRC,22459.11194913863,1,0,0,1,1,24040.635,26716.648,28301.768,29651.541,29830.342,22002.301,22303.984,22358.945,22342.148,22673.113,23073.346
Guyana,1982,GUY,2680.171265261439,0,0,0,1,0,3085.4885,3046.1658,3009.2766,3089.9478,3178.5818,2505.4871,2390.9602,2463.519,2460.4685,2505.5276,2434.8765
Guyana,1987,GUY,2505.52768351256,0,0,1,0,0,2460.4685,2463.519,2390.9602,2505.4871,2680.1714,2434.8765,2330.8738,2266.2898,2399.7979,2571.7427,2761.5303
Guyana,1993,GUY,2761.530234055737,0,1,0,0,1,2571.7427,2399.7979,2266.2898,2330.8738,2434.8765,2978.3765,3118.3618,3368.6428,3590.1831,3549.5544,3674.6238
Honduras,1981,HND,1522.998213755839,0,0,0,1,1,1589.8976,1629.8822,1591.7523,1549.2981,1447.4509,1446.5063,1415.9092,1460.7369,1497.4022,1531.0548,1585.2632
Honduras,1990,HND,1561.216598598374,0,0,1,0,1,1563.1698,1566.4529,1585.2632,1531.0548,1497.4022,1466.9746,1512.7319,1566.2765,1525.8782,1574.897,1559.0801
Haiti,1992,HTI,1283.725362112224,0,0,1,0,0,1382.3186,1383.9274,1397.5402,1469.1982,1497.1587,1191.0905,1029.2091,1110.3104,1135.3508,1145.2358,1149.615
Haiti,1994,HTI,1029.209119638966,0,1,0,0,1,1191.0905,1283.7253,1382.3186,1383.9274,1397.5402,1110.3104,1135.3508,1145.2358,1149.615,1160.2783,1150.36
Haiti,2003,HTI,1137.355941077003,0,0,1,0,0,1118.7367,1127.2028,1150.36,1160.2783,1149.615,1105.0812,1126.603,1127.9198,1171.8667,1182.0818,1237.2769
Hungary,1991,HUN,8869.92277497549,0,1,0,0,1,,,,,,8601.498,8561.7021,8826.1016,8970.0479,8992.874,9294.2373
Hungary,2008,HUN,13928.80032478404,0,1,0,0,1,13758.824,13704.337,13152.822,12592.319,11986.38,13015.78,13191.621,13485.315,13367.993,13654.286,14270.108
Indonesia,1979,IDN,1147.239671750759,0,0,1,0,0,1094.7017,1050.2914,989.55237,949.07764,927.19867,1231.1952,1298.066,1296.8958,1320.9919,1382.3938,1386.7328
Indonesia,1997,IDN,2433.340759548815,0,1,0,0,1,2358.1199,2220.0769,2083.3625,1968.4164,1878.973,2084.1428,2071.5247,2143.6594,2191.5742,2259.3076,2335.594
India,1993,IND,611.1188527943498,0,1,0,0,0,595.01349,575.50153,581.21826,562.29657,542.0542,639.26874,674.61957,711.92883,727.04315,757.93408,810.21729
"Iran, Islamic Rep.",1985,IRN,4765.238857231855,0,0,1,0,0,4857.8223,5545.7539,5322.3647,4365.6299,4788.1084,4112.0645,3980.7778,3630.1135,3726.4214,4125.8735,4531.8027
"Iran, Islamic Rep.",1992,IRN,4574.178947048737,0,0,0,1,0,4531.8027,4125.8735,3726.4214,3630.1135,3980.7778,4548.2217,4417.0688,4455.3057,4622.7319,4583.8564,4622.3477
"Iran, Islamic Rep.",2000,IRN,4812.321484118064,0,0,1,0,0,4605.855,4622.3477,4583.8564,4622.7319,4455.3057,4793.0947,5078.5054,5453.0171,5623.6938,5735.6113,5954.7417
"Iran, Islamic Rep.",2013,IRN,6035.280622760902,0,0,1,0,0,6122.4307,6695.082,6599.6611,6309.6421,6316.3711,6232.9341,6070.188,6790.6411,6948.7104,6440.0708,5922.5283
Iceland,1975,ISL,,1,0,1,0,0,,,,,,,,,,,
Iceland,1981,ISL,,1,0,1,0,0,,,,,,,,,,,
Iceland,1989,ISL,,1,0,1,0,0,,,,,,,,,,,30672.174
Iceland,2008,ISL,48286.03722806663,1,1,1,0,1,48128.945,45514.035,43826.559,41956.223,39262.758,44433.602,43237.074,43900.824,44132.316,45707.035,45964.004
Israel,1975,ISR,,1,0,1,0,1,,,,,,,,,,,
Israel,1980,ISR,,1,0,1,0,0,,,,,,,,,,,
Israel,1983,ISR,,1,1,0,0,0,,,,,,,,,,,
Israel,1985,ISR,,1,0,1,0,0,,,,,,,,,,,
Italy,1981,ITA,24676.58843028928,1,0,1,0,0,24499.4,23735.781,22465.742,21838.34,21383.758,24760.297,25040.705,25842.705,26558.131,27316.197,28185.242
Italy,2008,ITA,37690.48589491446,1,1,0,0,0,38309.547,37939.289,37384.074,37263.469,36978.984,35537.789,36035.645,36228.18,35053.641,34011.703,33699.539
Jamaica,1978,JAM,4053.685045153524,0,0,1,1,1,4104.7461,4266.3994,4634.1631,4715.1274,5001.7803,3960.1643,3681.988,3720.5439,3734.3972,3742.5786,3629.5239
Jamaica,1983,JAM,3742.578573176766,0,0,1,0,1,3734.3972,3720.5439,3681.988,3960.1643,4053.6851,3629.5239,3478.7271,3510.1677,3758.2607,3884.7053,4139.0308
Jamaica,1991,JAM,4455.080627145375,0,0,1,0,1,4283.5972,4139.0308,3884.7053,3758.2607,3510.1677,4502.1182,4879.4233,4898.7002,4965.0132,4911.0527,4807.5386
Jamaica,1996,JAM,4911.052796132504,0,1,0,0,0,4965.0132,4898.7002,4879.4233,4502.1182,4455.0806,4807.5386,4650.3823,4656.6172,4658.5684,4685.9058,4747.3062
Jamaica,2010,JAM,4704.047759624253,0,0,0,1,1,4798.5771,5041.7539,5108.0601,5061.2061,4944.4844,4759.252,4703.0933,4700.0186,4705.4019,4722.6655,4762.5435
Jordan,1989,JOR,2752.555738414766,0,1,1,1,1,3218.5664,3298.5444,3348.2068,3299.6218,3532.2224,2616.75,2521.2466,2725.6306,2696.1694,2696.2192,2752.0349
Japan,1997,JPN,41861.75343859141,1,1,0,0,0,41514.898,40358.094,39373.215,39095.055,39426.191,41277.066,41097.961,42169.734,42239.184,42190.805,42744.012
