Country,year,CAB,Infl,EXDEBT,LogInfl,AmountDrawnPercentAgreed,AmountAgreedPercentGDP,Shortterm,simple_conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Brazil,1969,,,,,0,.13347964,1,,9.7358265,11.427282,4.9152656,4.1503601,,,8.7699471,11.295087,12.052802,13.978692,9.04212,5.2090759
Brazil,1970,,,14.34068530990334,,0,.11812624,1,,8.7699471,9.7358265,11.427282,4.9152656,4.1503601,,11.295087,12.052802,13.978692,9.04212,5.2090759,9.79041
Brazil,1971,,,15.87020090035082,,0,.10192001,1,,11.295087,8.7699471,9.7358265,11.427282,4.9152656,4.1503601,12.052802,13.978692,9.04212,5.2090759,9.79041,4.606318
Brazil,1972,,,20.42804065565328,,0,.092734523,1,,12.052802,11.295087,8.7699471,9.7358265,11.427282,4.9152656,13.978692,9.04212,5.2090759,9.79041,4.606318,3.2317095
Brazil,1983,-3.361460016518625,135.027515587167,51.7231840200862,4.9054785,.64705884,2.22911,0,49,-3.4097934,.58024555,-4.3933573,9.11096,6.7662849,3.2317095,5.2691431,7.9458618,7.9882951,3.5996294,-.10267272,3.2794588
Brazil,1988,1.257879216494216,629.113193358666,37.21558230672294,6.4443111,.33330292,.44580537,1,12,-.10267272,3.5996294,7.9882951,7.9458618,5.2691431,-3.4097934,3.2794588,-3.102356,1.5119373,-.46691322,4.6651688,5.3345518
Brazil,1992,1.51997289061325,951.962053052818,32.95724756324302,6.8585253,.085000001,.52734971,1,0,-.46691322,1.5119373,-3.102356,3.2794588,-.10267272,3.5996294,4.6651688,5.3345518,4.4167314,2.2075355,3.394846,.3380979
Brazil,1998,-3.916647336911293,3.19507629280056,29.31409024229441,1.161611,.72184241,3.47733,1,86,.3380979,3.394846,2.2075355,4.4167314,5.3345518,4.6651688,.46793756,4.3879495,1.3898964,3.0534618,1.140829,5.7599645
Brazil,2001,-4.150103605940123,6.84035902487525,42.48988865254407,1.9228402,.96564758,5.0285177,1,47,1.3898964,4.3879495,.46793756,.3380979,3.394846,2.2075355,3.0534618,1.140829,5.7599645,3.2021313,3.9619887,6.0698705
Brazil,2002,-1.503384508870697,8.450164377083301,47.24672558499852,2.1341858,.70914572,8.9179182,1,45,3.0534618,1.3898964,4.3879495,.46793756,.3380979,3.394846,1.140829,5.7599645,3.2021313,3.9619887,6.0698705,5.0941954
Barbados,1982,-3.310054020100502,10.3324664370561,,2.3352909,1,3.0234125,1,12,-4.9009385,-1.8997515,4.373065,7.8930082,4.8769393,3.6422057,.50125313,3.600374,1.0982398,5.1041665,2.5909669,3.5053823
