Country,year,GrowthPWT,L1Growth,F1Growth,L2Growth,F2Growth,L3Growth,F3Growth,L4Growth,F4Growth,L5Growth,F5Growth
Costa Rica,1994,4.621131897,7.151716232,3.84594512,8.757137299,0.882716,2.237114191,5.428156853,3.490468979,8.063804626,5.511083126,7.901624203
Czech Republic,1996,4.193629265,6.035546303,-0.676558316,2.867789745,-0.316535562,0.061883714,1.427809596,-0.507824123,4.204494953,-12.34673119,3.005889177
Germany,2008,1.076500773,3.208508968,-5.782892704,3.633346796,3.998901367,0.704233229,3.594611883,1.16317451,0.4043504,-0.712435186,0.297401458
Djibouti,1991,-3.197249174,6.680513859,5.697402954,-2.634396315,4.725683212,1.191984534,-2.452853441,0.493556023,5.450274467,-1.196138144,-5.225103855
Dominica,2002,-2.058502436,0.338343769,7.385044575,0.634557545,2.600661755,0.638603628,-0.323765039,3.111736059,4.470228672,2.463774681,5.785513401
Denmark,2008,-0.720544994,0.821038842,-5.221940041,3.726436615,1.612068534,2.407808542,1.145557404,2.604734659,-0.073347211,0.389332265,-0.244080141
Dominican Republic,1982,1.685413122,4.189840794,4.524048805,7.670804501,1.245112777,4.428077221,-2.145383358,2.121994734,3.461398363,4.857768059,9.637654305
Dominican Republic,1985,-2.145383358,1.245112777,3.461398363,4.524048805,9.637654305,1.685413122,2.133054972,4.189840794,4.306465149,7.670804501,-5.133992672
Dominican Republic,1990,-5.133992672,4.306465149,0.766750395,2.133054972,9.996531487,9.637654305,6.973488331,3.461398363,2.277199984,-2.145383358,5.348104954
Dominican Republic,2003,-0.253720641,5.626924992,1.303391218,1.793057084,8.858533859,5.50249958,10.13930607,6.499289989,8.134676933,6.775817394,3.095310688
Algeria,1988,-1.005039334,-0.702456951,4.305953503,0.399203777,0.796808422,3.63319087,-1.20725584,5.448814392,1.78399241,5.259243488,-2.122359037
Algeria,1990,0.796808422,4.305953503,-1.20725584,-1.005039334,1.78399241,-0.702456951,-2.122359037,0.399203777,-0.904074669,3.63319087,3.72957325
Algeria,1994,-0.904074669,-2.122359037,3.72957325,1.78399241,4.018175602,-1.20725584,1.09399426,0.796808422,4.974215508,4.305953503,3.149870157
Ecuador,1982,1.180414319,3.867421865,-2.861536503,4.789710045,4.116629601,5.166813374,4.251141548,6.382836819,3.05074811,6.330077648,-6.169833183
Ecuador,1998,2.09353447,3.971036911,-5.64503479,2.373633385,4.070915222,1.733292341,3.937101364,4.596543789,4.015086174,2.011186123,2.686446905
Ecuador,1999,-5.64503479,2.09353447,4.070915222,3.971036911,3.937101364,2.373633385,4.015086174,1.733292341,2.686446905,4.596543789,7.891304016
Ecuador,2008,6.163234711,2.166430235,0.56489861,4.309325218,3.464584112,5.156069756,7.573936462,7.891304016,5.488549232,2.686446905,4.452942371
Egypt,1979,9.795964241,7.620623589,9.486446381,7.497756004,3.687254429,12.84633732,9.446588516,4.962815762,14.55194569,2.455112457,9.712367058
Egypt,1980,9.486446381,9.795964241,3.687254429,7.620623589,9.446588516,7.497756004,14.55194569,12.84633732,9.712367058,4.962815762,6.533455849
Egypt,1984,9.712367058,14.55194569,6.533455849,9.446588516,1.973864555,3.687254429,7.567126751,9.486446381,5.165009022,9.795964241,5.653059959
Egypt,1990,5.652953625,5.653059959,5.203550339,5.165009022,6.450801373,7.567126751,2.863008499,1.973864555,3.872068405,6.533455849,4.456870079
Eritrea,1993,,,,,,,,,,,
Spain,1977,2.799034595,3.250386953,1.45240283,0.540744305,0.041537538,5.466607571,2.184694767,7.500045776,-0.132564604,7.834655285,1.238764048
Spain,1983,1.754630208,1.238764048,1.768950939,-0.132564604,2.294896841,2.184694767,3.20152235,0.041537538,5.398734093,1.45240283,4.968806267
Spain,2008,1.109749913,3.699656725,-3.639227152,4.089354992,0.013809531,3.655406713,-1.00511241,3.117649078,-2.655247927,3.137810946,-1.686110139
Estonia,1992,-23.7859478,-8.33799839,-5.91185236,,-2.011902094,,4.177096367,,5.186960697,,11.15289974
Ethiopia,1993,12.54257011,-9.329339981,3.42703104,-7.491636753,5.941024303,0.259668887,12.69203091,-6.294501781,2.800857067,28.48805046,-4.129470825
Finland,1991,-6.096546173,0.673517823,-3.38115263,4.962503433,-0.737207532,5.078678131,3.863656521,3.497225523,4.121038914,2.689642668,3.593477488
Finland,1993,-0.737207532,-3.38115263,3.863656521,-6.096546173,4.121038914,0.673517823,3.593477488,4.962503433,6.064163685,5.078678131,5.286297798
Fiji,1998,1.291625977,-2.224557161,8.434112549,4.688358784,-1.714621305,2.469263315,1.980267644,4.97420454,3.14986372,1.712887168,0.995037019
France,2008,0.195101187,2.334054947,-2.985462666,2.347184658,1.946588039,1.594922781,2.057903051,2.748306274,0.182526827,0.816192329,0.654339254
Gabon,1986,-0.80682987,-2.360596418,-18.80909157,7.240334511,12.08484268,5.456622124,8.199747086,-3.146491528,5.061923027,4.969752789,5.932965279
Gabon,1994,5.333134174,2.359209776,4.853889465,-3.138892889,3.561105013,5.932965279,5.579764843,5.061923027,2.914690495,8.199747086,-11.22495842
Gabon,2002,-1.811758637,2.326203585,2.462698221,-1.324599624,0.791275799,-11.22495842,1.088352084,2.914690495,-3.173413992,5.579764843,6.139834881
United Kingdom,2007,2.553162575,2.627016068,-0.467974395,2.952346325,-4.28234148,2.457999706,1.528432131,3.282207251,1.953201413,2.463319302,1.172164083
Georgia,1991,-23.99505997,,-58.88343811,,-34.65926743,,-10.96043968,,2.544902563,,10.69340038
Georgia,1992,-58.88343811,-23.99505997,-34.65926743,,-10.96043968,,2.544902563,,10.69340038,,10.00172138
Georgia,1999,2.828840256,3.057739258,1.821648717,10.00172138,4.6935606,10.69340038,5.329276085,2.544902563,10.48833656,-10.96043968,5.692206383
Ghana,1978,8.135821342,2.248640776,-2.545298815,-3.594016075,0.459752619,-13.27502155,-3.556874752,6.627933979,-7.172996521,5.396608829,-4.673165321
Ghana,1982,-7.172996521,-3.556874752,-4.673165321,0.459752619,8.293916702,-2.545298815,4.955159664,8.135821342,5.08134222,2.248640776,4.683489799
Ghana,1983,-4.673165321,-7.172996521,8.293916702,-3.556874752,4.955159664,0.459752619,5.08134222,-2.545298815,4.683489799,8.135821342,5.475490093
Ghana,1993,4.736055374,3.806063652,3.216904163,5.147061825,3.944573164,3.274610043,4.493657589,4.960769176,4.112512589,5.475490093,4.586923122
Ghana,2000,4.119529724,4.333250046,4.439050198,4.586923122,4.682291508,4.112512589,5.092263699,4.493657589,5.214640617,3.944573164,6.01139307
Ghana,2009,4.730490208,8.755772591,7.605361462,4.254173279,13.14234638,4.451241016,8.885305405,6.01139307,7.058497429,5.214640617,3.962390661
Guinea,1982,1.784002781,0.607882261,1.291631222,2.568126202,1.390296698,-1.21521306,4.878954411,6.575276852,3.066538095,-3.410571814,3.246655703
Guinea,1985,4.878954411,1.390296698,3.066538095,1.291631222,3.246655703,1.784002781,6.117143631,0.607882261,3.925415516,2.568126202,4.23318243
Guinea,1993,4.925191402,3.220097303,3.922709942,1.444343805,4.573830128,4.23318243,4.364916325,3.925415516,5.051824093,6.117143631,3.579294682
Guinea,2005,2.955877542,2.273950815,2.469261169,1.192861319,1.783991218,5.069303989,4.783736229,3.63319397,-0.300451219,2.472252369,1.882174611
"Gambia, The",1985,3.335187912,2.789844751,2.11989522,-3.572945833,3.024577379,6.792939663,4.963598728,16.58703423,3.52107811,0.241563603,3.529715061
"Gambia, The",1986,2.11989522,3.335187912,3.024577379,2.789844751,4.963598728,-3.572945833,3.52107811,6.792939663,3.529715061,16.58703423,2.838558912
"Gambia, The",2003,2.277023315,0.45614329,8.809668541,5.623118401,-0.946288288,5.953845501,1.117594361,6.621798038,3.566710472,3.589414835,5.576460838
Guinea-Bissau,1980,-17.37898445,1.974518657,-0.498752028,12.33324528,4.114188194,-7.440110683,-3.459145784,4.825155735,5.354085445,7.553019524,4.210114002
Guinea-Bissau,1994,2.919717073,2.250494003,3.937197208,3.048405409,3.678121567,2.956068993,5.821045876,3.246159792,-18.52456284,4.401481628,12.42216778
Guinea-Bissau,1995,3.937197208,2.919717073,3.678121567,2.250494003,5.821045876,3.048405409,-18.52456284,2.956068993,12.42216778,3.246159792,-0.171678647
Equatorial Guinea,1980,4.726749897,-5.121686935,5.608947754,-5.135210514,2.175058842,7.062241077,4.88512516,0.289453298,1.007181883,6.370932102,1.966605186
Equatorial Guinea,1983,4.88512516,2.175058842,1.007181883,5.608947754,1.966605186,4.726749897,-3.866763592,-5.121686935,7.210977077,-5.135210514,5.143182755
Equatorial Guinea,1994,8.965615273,9.059152603,11.06778431,12.4848032,29.71501923,0.321845084,66.9172821,-2.486947298,16.28227806,-2.797791004,20.86497116
Greece,1983,-1.084479928,-1.139116764,1.990633249,-1.565912485,2.478585243,0.674851,0.516329229,3.229366541,-2.28477025,6.996315956,4.198476315
Greece,2008,-0.335738838,3.221300125,-4.39594698,5.498456478,-5.63443327,0.597353697,-9.576769829,4.937168598,-7.580704212,5.632871151,-3.25050211
Greece,2012,-7.580704212,-9.576769829,-3.25050211,-5.63443327,0.651854455,-4.39594698,,-0.335738838,,3.221300125,
Grenada,2004,-0.649293184,9.045371056,12.46068382,3.372858763,-3.198344231,-2.041149616,5.068881035,4.772544384,0.944573283,6.670833588,-6.886917114
Guatemala,1986,0.13954629,-0.590870678,3.482615232,0.471740514,3.818550587,-2.585691214,3.866853714,-3.613550425,3.055411339,0.664042771,3.592921972
Guyana,1982,,,,,,,,,,,
Guyana,1987,,,,,,,,,,,
Guyana,1993,,,,,,,,,,,
Honduras,1981,2.501643896,0.666256785,-1.400988936,4.5589118,-0.928646207,9.536194801,4.253918171,9.879403114,4.10290432,9.985157967,0.720074534
Honduras,1990,0.096833862,4.234904766,3.200273514,4.506753922,5.471818447,5.856498718,6.043673992,0.720074534,-1.311831474,4.10290432,3.998874903
Croatia,1998,1.844757795,6.433979034,-0.939898133,5.707670689,3.698251963,6.610417366,3.376751184,5.704779148,5.113472939,-8.366156578,5.408951759
Haiti,1992,-5.457234383,1.864691377,-5.583977699,1.032766461,-12.7193594,-2.956704617,9.432536125,3.103414059,4.059317589,-0.751583934,2.666555405
Haiti,1994,-12.7193594,-5.583977699,9.432536125,-5.457234383,4.059317589,1.864691377,2.666555405,1.032766461,2.160217524,-2.956704617,2.676581621
Haiti,2003,0.361776829,-0.254153788,-3.582424641,-1.048248649,1.783790231,0.863818467,2.227984428,2.676581621,3.288609982,2.160217524,0.840398073
Hungary,1991,-12.66072464,-3.559263468,-3.112107992,0.733729601,-0.577780068,-0.065285198,2.904562712,3.97132206,1.47853899,1.52328527,0.043232135
Hungary,2008,0.835847318,0.42490992,-6.784078121,3.735707283,0.740448296,4.262473583,1.742238402,4.819684029,-1.70332551,3.771866083,1.872135878
Indonesia,1979,6.063080311,7.55321312,9.419157028,8.403367043,7.633747101,6.653496742,2.215021372,4.860022068,8.411224365,7.363189697,6.742251873
Indonesia,1997,4.592545033,7.527463913,-14.07174683,7.899727821,0.787858605,7.269245625,4.803013325,7.002630234,3.578662157,6.971727848,4.401189804
Indonesia,1998,-14.07174683,4.592545033,0.787858605,7.527463913,4.803013325,7.899727821,3.578662157,7.269245625,4.401189804,7.002630234,4.669622421
Indonesia,1999,0.787858605,-14.07174683,4.803013325,4.592545033,3.578662157,7.527463913,4.401189804,7.899727821,4.669622421,7.269245625,4.908419132
India,1993,4.836090565,5.278610706,7.198224545,0.422433227,7.367564678,5.50646162,7.134034634,6.365486145,4.380791187,9.461436272,5.814977169
Ireland,2008,-2.186132431,5.394593239,-5.803560257,6.118663788,0.397818565,6.141601086,2.555162907,4.31057024,0.15100351,3.77051115,1.424107552
Iran,1985,1.850433946,-7.407566071,-10.29734707,10.51409054,-0.172258198,20.84054565,-6.274809837,-5.865488529,5.951451778,-24.33418274,12.74687099
Iran,1992,3.244770765,11.97024441,-1.481943607,12.74687099,-1.712871194,5.951451778,2.372674465,-6.274809837,6.157028198,-0.172258198,1.341366887
Iran,1993,-1.481943607,3.244770765,-1.712871194,11.97024441,2.372674465,12.74687099,6.157028198,5.951451778,1.341366887,-6.274809837,2.05867672
Iran,2000,5.681055069,1.982900143,2.364014149,2.05867672,7.76906538,1.341366887,8.286301613,6.157028198,4.24526453,2.372674465,4.122535229
Iceland,1975,0.644079924,5.549422741,5.788552284,6.58439827,8.454581261,5.994051456,5.842658997,12.27558136,4.746152878,7.193856239,5.58880043
Iceland,1981,4.176558971,5.58880043,2.131682158,4.746152878,-2.174638987,5.842658997,4.046153069,8.454581261,3.239786863,5.788552284,6.081795692
Iceland,1989,0.258106053,-0.089763515,1.162582397,8.20032692,-0.22377041,6.081795692,-3.432126045,3.239786863,1.304900765,4.046153069,3.545261383
Iceland,2008,1.467951655,9.068959236,-4.79428339,4.120314121,-3.654641151,5.789485455,1.968616366,7.899905205,1.17599082,2.704902411,3.821993351
Israel,1975,3.191354036,6.275090218,0.321979254,5.436944008,1.02997911,11.46363544,5.406279087,10.39191914,6.022752285,11.97244263,1.656644344
Israel,1977,1.02997911,0.321979254,5.406279087,3.191354036,6.022752285,6.275090218,1.656644344,5.436944008,5.202234268,11.46363544,2.061108112
Israel,1980,1.656644344,6.022752285,5.202234268,5.406279087,2.061108112,1.02997911,3.303916216,0.321979254,0.928887069,3.191354036,3.957587004
Israel,1985,3.957587004,0.928887069,4.104728699,3.303916216,6.896351337,2.061108112,2.868486881,5.202234268,0.573098838,1.656644344,7.060009956
Italy,1981,0.840683341,3.372503996,0.412731916,5.788352966,1.162421584,3.188753366,3.174908638,2.528273106,2.759660959,6.88297987,2.819834709
Italy,2008,-1.055376887,1.463361263,-5.637328148,1.986546516,1.69611609,0.945135415,0.585101306,1.57087028,-2.858403921,0.152529582,-1.762860298
Jamaica,1978,0.542857349,-2.407575846,-1.858906746,-6.675219536,-5.897325516,-0.306140453,2.526720762,-3.963562489,1.218754768,1.267736197,2.260041714
Jamaica,1983,2.260041714,1.218754768,-0.858417511,2.526720762,-4.754189491,-5.897325516,1.668905497,-1.858906746,7.43748045,0.542857349,2.844384432
Jamaica,1991,0.870326519,5.314378738,9.831414223,6.614986897,1.948278904,2.844384432,0.888019562,7.43748045,1.024014473,1.668905497,0.313218951
Jamaica,1996,0.313218951,1.024014473,-0.98915875,0.888019562,-1.234024286,1.948278904,0.983899713,9.831414223,0.689009905,0.870326519,1.272694826
