Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Central African Republic,1976,CAF,,,20.99585543213892,2338.738,2.0624051,.27216384,.1125409,0,1,0,0,Africa,,-1.5261757,,4.4401064,1.8200564,-2.9829824,4.5277901,-1.9718932,-3.0358274,8.0413027,1.2092226,-2.4650636,-4.4786053,1.5478474,1.7961712,-6.0971894,0
Central African Republic,1994,CAF,-2.899004627234185,24.5710137275605,106.9453584284054,3368.7661,3.2676699,.21180941,.09525843,0,0,1,0,Africa,2.7719836,-1.5261757,81,5.1764312,-.34839073,-1.3307805,1.1798434,-1.5450931,2.4753976,5.1530304,-7.548161,6.1207924,4.5526385,5.938098,1.9218869,.63047618,1
Switzerland,2008,CHE,2.378861357859011,2.42604804028587,,415978.03,7.6461129,.08065033,2.9183676,1,1,0,0,Rich,,1.9704963,0,2.1547022,4.1118793,3.9886365,3.1152411,2.7762294,.039573479,-2.2221086,3.0026956,1.692814,1.0060227,1.8520366,2.4492195,1.3333675,0
China,1998,CHN,3.058375307584818,-.773182345961248,14.24481627456773,4746426.5,1267.4415,.22598916,.30664504,0,1,0,0,Asia,,.089489624,0,2.2518265,4.5369244,7.8886342,9.6245594,8.7974119,11.037567,5.8771477,7.4168005,7.8325553,9.3664474,7.9449539,9.914155,11.475056,0
Cote d'Ivoire,1984,CIV,,4.28476110361868,134.5893114466439,24650.693,9.8260546,.25241581,.25047567,0,0,0,1,Africa,1.2397553,-.92309225,64,-2.7009795,-3.8997159,.20088674,3.499984,-10.956451,1.8999395,4.500617,3.2585945,-.34678522,1.1072474,11.889856,-1.2304282,.056625288,1
Cote d'Ivoire,1988,CIV,,6.93068617206517,143.4273537515713,27745.584,11.42426,.23338374,.24275382,0,1,0,0,Africa,1.2318457,-.92309225,48,1.1072474,-.34678522,3.2585945,4.500617,-2.7009795,-3.8997159,11.889856,-1.2304282,.056625288,-.62251496,-.39863425,2.1440768,7.0528936,1
Cote d'Ivoire,1994,CIV,,26.0815719947161,230.7226529323818,31874.83,14.083611,.14566353,.20912436,0,0,1,0,Africa,5.7429481,-.92309225,90,2.1440768,-.39863425,-.62251496,.056625288,-1.2304282,11.889856,7.0528936,6.7451053,5.6816564,5.1288428,1.9432617,-2.0683846,.12137865,1
Cote d'Ivoire,2001,CIV,,4.36152914007255,117.2382244615646,37681.168,17.040152,.1245923,.16528778,0,0,0,1,Africa,3.0693755,-.92309225,92,.12137865,-2.0683846,1.9432617,5.1288428,5.6816564,6.7451053,-1.6676739,-1.3594991,1.2317256,1.7212633,1.5158429,1.7650374,2.5517373,1
Cote d'Ivoire,2010,CIV,1.866754113293353,1.2264561213548,48.82239583227614,52976.387,20.401331,.11950117,.14200741,0,0,0,1,Africa,3.2362828,-.92309225,89,2.017637,3.2514567,2.5517373,1.7650374,1.5158429,1.7212633,-4.1986175,10.101742,9.2853794,8.7693396,8.8428583,7.9717455,7.7020912,1
Cameroon,1987,CMR,-7.256563383014432,13.140499844701,37.78594951625638,30902.338,10.696274,.20389415,.29388088,0,1,0,0,Africa,.66478789,-.83878541,36,-5.6039791,-5.2565966,2.3518274,8.0458641,8.4029551,7.4483147,-3.7735879,-3.1460917,-6.1611085,-3.764046,-3.0501575,-3.1581035,2.1239645,1
