Country,year,AmountAgreedPercentGDP,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Cameroon,1988,.66478789,-7.8236318,-2.1466503,6.7716632,8.0631618,7.4745727,6.8668303,-1.8191205,-6.1056976,-3.8085995,-3.1000032,-7.9320664,2.1239355
Cameroon,1991,.30808365,-3.8085995,-6.1056976,-1.8191205,-7.8236318,-2.1466503,6.7716632,-3.1000032,-7.9320664,2.1239355,3.4697921,4.3610864,5.2313209
Cameroon,1994,1.094829,2.1239355,-7.9320664,-3.1000032,-3.8085995,-6.1056976,-1.8191205,3.4697921,4.3610864,5.2313209,4.5022912,4.292017,3.5533743
Cameroon,1995,1.0633639,3.4697921,2.1239355,-7.9320664,-3.1000032,-3.8085995,-6.1056976,4.3610864,5.2313209,4.5022912,4.292017,3.5533743,4.3680844
"Congo, Dem. Rep.",1967,.7978574,-.98573864,6.7754855,,,,,4.3326983,9.3288374,-.24505657,6.0050182,.15113552,8.1372757
"Congo, Dem. Rep.",1976,.49011567,-5.3090019,-4.9816308,3.1305859,8.1372757,.15113552,6.0050182,.76079363,-5.3452916,.43008825,2.1949129,2.3505242,-.4576776
"Congo, Dem. Rep.",1977,.42560515,.76079363,-5.3090019,-4.9816308,3.1305859,8.1372757,.15113552,-5.3452916,.43008825,2.1949129,2.3505242,-.4576776,1.4117037
"Congo, Dem. Rep.",1979,1.011762,.43008825,-5.3452916,.76079363,-5.3090019,-4.9816308,3.1305859,2.1949129,2.3505242,-.4576776,1.4117037,5.5410738,.46785095
"Congo, Dem. Rep.",1983,2.2143891,1.4117037,-.4576776,2.3505242,2.1949129,.43008825,-5.3452916,5.5410738,.46785095,4.7172098,2.6756425,.47038135,-1.2660506
"Congo, Dem. Rep.",1985,2.2860773,.46785095,5.5410738,1.4117037,-.4576776,2.3505242,2.1949129,4.7172098,2.6756425,.47038135,-1.2660506,-6.5683107,-8.421051
"Congo, Dem. Rep.",1986,3.1041317,4.7172098,.46785095,5.5410738,1.4117037,-.4576776,2.3505242,2.6756425,.47038135,-1.2660506,-6.5683107,-8.421051,-10.500009
"Congo, Dem. Rep.",1989,1.6537163,-1.2660506,.47038135,2.6756425,4.7172098,.46785095,5.5410738,-6.5683107,-8.421051,-10.500009,-13.46905,-3.8999968,.69999886
"Congo, Rep.",1977,.71709132,-8.9534283,.91628677,7.7315969,7.8855209,8.2311888,8.6175508,6.3597469,9.8132248,17.636606,17.619722,23.5977,5.8539629
"Congo, Rep.",1979,.43111753,9.8132248,6.3597469,-8.9534283,.91628677,7.7315969,7.8855209,17.636606,17.619722,23.5977,5.8539629,6.976131,-1.1856608
"Congo, Rep.",1986,1.4210368,-6.8615265,-1.1856608,6.976131,5.8539629,23.5977,17.619722,.18937664,1.7662635,2.5998764,1.0000036,2.3953674,2.611948
"Congo, Rep.",1990,1.3561467,1.0000036,2.5998764,1.7662635,.18937664,-6.8615265,-1.1856608,2.3953674,2.611948,-.97968322,-5.4930758,3.9853244,4.2904816
"Congo, Rep.",1994,1.8740147,-5.4930758,-.97968322,2.611948,2.3953674,1.0000036,2.5998764,3.9853244,4.2904816,-.62481213,3.7375529,-2.5821993,7.5759802
Colombia,1966,.67237496,5.2367358,,,,,,4.1348643,5.9331179,6.1025171,6.2077971,5.9607282,7.6691475
Colombia,1967,1.0300127,4.1348643,5.2367358,,,,,5.9331179,6.1025171,6.2077971,5.9607282,7.6691475,6.7229548
Colombia,1968,.56206048,5.9331179,4.1348643,5.2367358,,,,6.1025171,6.2077971,5.9607282,7.6691475,6.7229548,5.7457571
Colombia,1969,.51548988,6.1025171,5.9331179,4.1348643,5.2367358,,,6.2077971,5.9607282,7.6691475,6.7229548,5.7457571,2.3232553
Colombia,1970,.53484404,6.2077971,6.1025171,5.9331179,4.1348643,5.2367358,,5.9607282,7.6691475,6.7229548,5.7457571,2.3232553,4.7283688
