Country,year,IMFsizeGDP,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Ecuador,1991,.7813760527660209,4.8949242,2.9835701,.2573967,10.001278,-6.1698914,3.0508041,3.5037994,2.0112038,4.5965195,1.7333031,2.3736954,3.9710045
Ecuador,1994,1.200465126184431,4.5965195,2.0112038,3.5037994,4.8949242,2.9835701,.2573967,1.7333031,2.3736954,3.9710045,2.0935059,-5.644989,4.0708542
Ecuador,2000,1.612616510944258,4.0708542,-5.644989,2.0935059,3.9710045,2.3736954,1.7333031,3.937149,4.0150642,2.6865005,7.8912735,5.1560402,4.3093681
Ecuador,2003,.6918337664897195,2.6865005,4.0150642,3.937149,4.0708542,-5.644989,2.0935059,7.8912735,5.1560402,4.3093681,2.1663666,6.163311,.5648613
Ecuador,2016,,,,3.6090851,4.4528961,5.4885864,7.5738907,,,,,,
Egypt,1977,.6882648252220655,7.4977875,12.846279,4.9628258,2.4551392,.7027626,3.7823677,7.6206207,9.7959518,9.4864845,3.687191,9.4466209,14.551926
Egypt,1987,.4584689058873497,7.5671196,1.9739151,6.533432,9.71241,14.551926,9.4466209,5.1650047,5.6529999,5.6529999,5.2035332,6.4508438,2.8629303
Egypt,1991,.6923160011042706,5.2035332,5.6529999,5.6529999,5.1650047,7.5671196,1.9739151,6.4508438,2.8629303,3.8721085,4.4569016,4.9909592,5.345726
Egypt,1996,.5487056297625054,4.9909592,4.4569016,3.8721085,2.8629303,6.4508438,5.2035332,5.345726,3.9451599,5.9305191,5.2433968,3.463459,3.1357765
Estonia,1992,0,-23.785877,-8.3380699,,,,,-5.9119225,-2.0118713,4.1770935,5.1869392,11.152935,4.0347099
Estonia,1993,.9185476405618666,-5.9119225,-23.785877,-8.3380699,,,,-2.0118713,4.1770935,5.1869392,11.152935,4.0347099,-.86011887
Estonia,1995,.5461535099286368,4.1770935,-2.0118713,-5.9119225,-23.785877,-8.3380699,,5.1869392,11.152935,4.0347099,-.86011887,10.046101,6.1365128
Estonia,1996,.4227744314007347,5.1869392,4.1770935,-2.0118713,-5.9119225,-23.785877,-8.3380699,11.152935,4.0347099,-.86011887,10.046101,6.1365128,5.8989525
Estonia,1997,.428320816004667,11.152935,5.1869392,4.1770935,-2.0118713,-5.9119225,-23.785877,4.0347099,-.86011887,10.046101,6.1365128,5.8989525,7.1540833
Estonia,2000,.669936641340348,10.046101,-.86011887,4.0347099,11.152935,5.1869392,4.1770935,6.1365128,5.8989525,7.1540833,6.1045647,8.9600563,9.777832
ETHIOPIA    ,1981,1.036810155687861,3.289032,4.6820641,9.8862648,-6.2296867,-.46186447,-.17004013,1.0216713,3.1152725,.87594986,-1.6180992,3.0029297,-13.560295
ETHIOPIA    ,2009,.7424948599059213,8.4362984,10.245419,10.845852,10.287094,11.170769,12.727261,11.823273,12.359142,8.2941055,9.9759102,9.472847,
Finland,1975,.4932411386973605,1.7888069,3.1852722,6.7507744,7.4508667,2.3295403,7.6961517,.34379959,.23918152,2.877903,6.8798065,5.2488327,1.2865067
Gabon,1978,.9925937434440877,-27.50845,-13.446903,30.472565,17.554951,33.280182,9.6967697,.4732132,2.5209427,4.9696922,-3.1464577,5.4566383,7.2402954
Gabon,1986,2.468857381215079,-.80690384,-2.3605347,7.2402954,5.4566383,-3.1464577,4.9696922,-18.809032,12.084866,8.1996918,5.0619125,5.9329987,-3.1389236
Gabon,1989,1.267497489397137,8.1996918,12.084866,-18.809032,-.80690384,-2.3605347,7.2402954,5.0619125,5.9329987,-3.1389236,2.3591995,5.3331375,4.8539162
Gabon,1991,.6961229291866772,5.9329987,5.0619125,8.1996918,12.084866,-18.809032,-.80690384,-3.1389236,2.3591995,5.3331375,4.8539162,3.5611153,5.5797577
Gabon,1994,1.262634249477628,5.3331375,2.3591995,-3.1389236,5.9329987,5.0619125,8.1996918,4.8539162,3.5611153,5.5797577,2.9147148,-11.224937,-1.3246536
Gabon,2000,2.235158717314481,-1.3246536,-11.224937,2.9147148,5.5797577,3.5611153,4.8539162,2.3262024,-1.8117905,2.4627686,.79126358,1.0883331,-3.1734467
Gabon,2004,1.390367902619473,.79126358,2.4627686,-1.8117905,2.3262024,-1.3246536,-11.224937,1.0883331,-3.1734467,6.1398506,-3.5155296,-.50125122,6.5788269
Gabon,2007,.9801166243899083,6.1398506,-3.1734467,1.0883331,.79126358,2.4627686,-1.8117905,-3.5155296,-.50125122,6.5788269,6.8592072,5.1643372,5.4488182
United Kingdom,1977,1.472572591093684,2.5639534,2.983284,-1.5617371,-2.5532722,6.3350677,4.1402817,4.046917,3.6102295,-2.1932602,-.85039139,2.0541191,4.115963
GEORGIA     ,1995,5.622955704201718,2.5448799,-10.960388,-34.65929,-58.883476,-23.995018,,10.693359,10.001755,3.057766,2.8287888,1.8217087,4.6935081
GEORGIA     ,2008,8.993554393670799,2.5795937,11.849022,8.9689255,9.1664314,5.6921959,10.488319,-3.8131714,6.0164452,6.9390297,6.2040329,3.2660484,4.6563148
GEORGIA     ,2014,.877258357889781,4.6563148,3.2660484,6.2040329,6.9390297,6.0164452,-3.8131714,,,,,,
GHANA       ,1979,.4242187132565455,-2.5452614,8.1357956,2.2486687,-3.594017,-13.275051,6.6279411,.45967102,-3.5568237,-7.172966,-4.6731949,8.2939148,4.955101
GHANA       ,1983,.6478361937337883,-4.6731949,-7.172966,-3.5568237,.45967102,-2.5452614,8.1357956,8.2939148,4.955101,5.0813675,4.6834946,5.4755211,4.9607277
GHANA       ,1984,1.462562705246762,8.2939148,-4.6731949,-7.172966,-3.5568237,.45967102,-2.5452614,4.955101,5.0813675,4.6834946,5.4755211,4.9607277,3.2746315
GHANA       ,1986,1.08847091233095,5.0813675,4.955101,8.2939148,-4.6731949,-7.172966,-3.5568237,4.6834946,5.4755211,4.9607277,3.2746315,5.1470757,3.8060188
GUINEA      ,1982,1.643412390817974,1.7839432,.60787201,2.5681496,-1.2151718,6.5752983,-3.4106255,1.2916565,1.3902664,4.8789978,3.0665398,3.2466888,6.1170578
GUINEA      ,1986,1.718046758329374,3.0665398,4.8789978,1.3902664,1.2916565,1.7839432,.60787201,3.2466888,6.1170578,3.9254189,4.2332649,1.4443398,3.2200813
"GAMBIA, THE ",1979,.6424592195905249,-3.2622337,4.881382,1.5465736,-1.3417721,5.9179783,7.2227955,.2415657,16.587019,6.7929268,-3.5729408,2.7898312,3.3351898
"GAMBIA, THE ",1982,5.654111550992047,6.7929268,16.587019,.2415657,-3.2622337,4.881382,1.5465736,-3.5729408,2.7898312,3.3351898,2.1199226,3.0245781,4.9635887
"GAMBIA, THE ",1984,5.277023664278448,2.7898312,-3.5729408,6.7929268,16.587019,.2415657,-3.2622337,3.3351898,2.1199226,3.0245781,4.9635887,3.5210609,3.5297394
"GAMBIA, THE ",2015,,,1.6148567,4.6701431,5.6968212,-4.4250011,6.3204288,,,,,,
GUINEA-BISSAU,2014,,2.8587341,.89597702,-2.2245407,8.6177349,4.3059826,3.2466888,,,,,,
Equatorial Guinea,1980,20.18458273269672,4.7267437,-5.1216602,-5.1352024,7.0622444,.28944016,6.3709259,5.6089401,2.175045,4.885149,1.0071754,1.9665718,-3.8667202
